Day_Number,Bakery,Beverages,Dairy,Fruits & Vegetables,Grains & Pulses,Oils & Fats,Seafood
1,9,30,33,67,8,17,5
2,9,10,33,67,8,17,5
3,9,9,33,62,8,13,5
4,9,9,244,61,7,13,5
5,9,9,13,29,7,12,5
6,9,22,13,96,50,12,5
7,9,22,13,72,50,12,5
8,9,22,13,23,14,12,5
9,8,22,13,22,14,5,5
10,8,30,23,32,13,5,5
11,25,30,22,32,13,5,4
12,25,30,22,64,26,5,13
13,39,7,22,63,26,5,13
14,39,7,48,65,25,5,13
15,9,7,90,64,25,5,12
16,9,7,7,105,44,5,12
17,8,7,7,70,44,5,12
18,8,31,7,128,43,4,12
19,8,30,7,8,43,4,12
20,8,30,6,8,43,4,5
21,8,27,6,8,8,4,5
22,8,27,6,51,7,34,5
23,8,26,6,120,7,33,4
24,44,18,6,126,71,4,4
25,44,18,6,125,6,4,4
26,43,18,6,49,5,4,4
27,6,18,6,12,5,4,4
28,6,7,7,11,5,4,4
29,5,6,7,117,5,4,4
30,5,6,7,32,106,4,4
31,5,6,7,31,61,3,18
32,98,6,6,52,10,4,18
33,67,48,16,44,10,4,18
34,82,48,16,43,10,4,33
35,25,44,15,117,9,4,33
36,25,44,15,82,9,4,9
37,25,55,35,27,21,4,8
38,25,54,45,27,20,22,8
39,6,13,45,26,20,22,8
40,6,13,80,99,40,21,8
41,5,13,79,216,39,21,8
42,5,54,30,142,39,21,25
43,5,31,30,113,94,21,25
44,5,31,30,86,17,21,25
45,5,5,15,143,17,21,24
46,5,5,15,15,17,21,24
47,5,4,68,15,17,16,11
48,5,4,95,27,18,16,11
49,5,4,26,26,17,16,11
50,5,4,32,26,17,15,11
51,5,4,32,85,17,10,10
52,26,4,31,24,17,10,10
53,25,7,67,24,17,9,10
54,36,7,88,22,17,29,17
55,35,7,72,22,16,5,16
56,72,7,14,22,15,5,16
57,32,7,14,7,15,5,16
58,15,6,103,7,15,5,16
59,14,6,12,7,15,5,11
60,14,6,11,6,13,5,10
61,14,6,66,6,12,5,10
62,6,6,55,6,12,4,10
63,6,6,54,137,7,4,10
64,6,6,54,44,7,41,10
65,6,6,95,43,6,41,10
66,6,6,40,43,38,19,10
67,6,13,9,43,38,18,24
68,6,13,9,81,83,18,24
69,6,13,9,121,16,18,85
70,5,12,8,30,15,18,14
71,5,12,8,21,15,109,14
72,5,10,8,20,93,24,14
73,5,10,16,20,38,23,14
74,5,9,16,20,56,21,14
75,21,9,16,84,4,21,14
76,21,9,15,21,4,21,14
77,21,9,21,21,4,20,97
78,20,9,21,48,4,23,56
