Day_Number,Bakery,Beverages,Dairy,Fruits & Vegetables,Grains & Pulses,Oils & Fats,Seafood
1,10,22,36,74,9,19,6
2,10,11,36,114,9,14,6
3,10,10,36,68,9,14,6
4,10,10,36,77,8,14,6
5,10,24,14,97,31,13,6
6,10,24,14,46,55,13,6
7,10,24,14,136,53,13,6
8,10,24,14,25,15,36,6
9,9,27,76,40,15,6,6
10,11,33,25,35,14,6,6
11,28,33,24,85,46,6,14
12,41,61,24,70,29,6,14
13,43,8,98,144,29,6,14
14,34,8,43,72,28,6,14
15,10,8,14,127,89,6,13
16,10,8,8,145,48,6,13
17,9,62,8,19,48,6,13
18,9,34,8,77,47,4,13
19,9,33,8,9,47,4,13
20,9,36,7,9,47,4,6
21,9,30,7,53,9,4,6
22,9,30,7,48,8,37,6
23,48,24,7,103,86,4,4
24,48,20,7,139,20,4,4
25,48,20,7,138,7,4,4
26,48,20,7,17,6,4,4
27,7,20,40,13,6,4,4
28,7,8,8,51,6,4,4
29,6,7,8,97,85,4,4
30,6,7,8,35,11,4,20
31,48,7,8,59,18,4,20
32,42,23,86,76,11,4,20
33,42,53,18,48,11,4,36
34,53,51,18,73,11,4,36
35,28,48,16,137,10,4,20
36,28,43,70,90,91,4,10
37,28,61,38,30,23,51,9
38,65,43,50,30,22,24,9
39,7,14,37,20,44,24,9
40,7,14,88,127,44,23,9
41,6,35,50,107,43,23,64
42,6,34,33,107,44,23,28
43,6,34,33,138,54,23,28
44,6,62,68,84,19,23,28
45,6,6,16,110,19,23,26
46,6,6,36,16,19,23,26
47,6,4,36,82,22,18,12
48,6,4,35,30,20,18,12
49,6,4,36,29,19,18,12
50,6,4,35,93,19,23,12
51,56,4,35,131,19,11,11
52,29,27,85,26,19,11,11
53,40,8,63,98,19,11,35
54,40,8,22,24,19,27,19
55,61,8,96,24,18,6,18
56,38,8,15,43,16,6,18
57,65,8,14,8,16,6,18
58,16,7,19,8,16,6,18
59,15,7,13,8,100,6,12
60,15,7,88,7,14,6,11
61,15,7,19,7,13,6,11
62,7,7,61,24,55,4,11
63,7,7,59,115,8,21,11
64,7,7,102,48,8,45,11
65,7,7,48,47,39,58,11
66,7,62,51,47,42,21,16
67,7,14,10,53,17,20,26
68,7,14,10,67,88,20,30
69,7,14,10,53,18,20,29
70,6,13,9,59,16,24,15
71,6,13,9,23,80,24,15
72,6,11,90,22,41,26,15
73,6,11,18,22,13,46,15
74,23,10,18,55,12,23,15
75,23,10,18,26,4,23,15
76,23,10,23,23,4,23,15
77,23,10,23,44,4,23,15
78,28,18,50,53,4,25,65
79,28,2,23,60,4,23,4
81,28,2,11,28,3,10,4
82,34,2,11,117,3,10,4
84,7,2,10,96,47,10,4
85,6,2,10,47,14,10,3
86,6,2,10,52,14,9,15
87,6,2,10,47,14,9,15
88,6,2,10,61,14,9,15
89,28,2,18,28,14,9,31
90,42,2,64,49,14,9,22
91,10,2,19,109,13,9,22
92,10,1,18,81,13,9,22
93,10,1,78,38,13,52,44
94,10,6,88,64,13,8,46
95,9,55,29,63,11,8,44
96,9,6,63,38,11,8,35
97,9,6,88,20,65,8,35
98,9,6,63,20,54,8,70
99,9,6,63,18,24,8,35
100,12,6,92,31,18,21,35
101,36,6,39,63,18,57,14
102,9,6,15,40,11,4,14
103,6,6,15,34,11,3,14
104,6,6,15,85,11,3,14
105,6,6,14,85,11,3,14
106,6,6,23,12,11,3,14
107,6,6,29,85,11,3,7
108,6,6,28,122,10,30,7
109,6,6,28,34,87,53,7
110,6,6,28,57,11,29,7
111,38,6,28,57,11,29,7
112,11,6,107,37,10,29,7
113,33,6,55,43,10,29,7
114,21,37,74,13,10,28,6
115,20,14,106,13,10,28,26
116,20,13,74,13,10,26,26
117,61,13,86,84,10,24,26
118,12,13,43,35,10,28,30
119,12,13,42,77,39,26,30
120,12,13,43,117,9,43,26
121,12,58,24,77,9,6,8
122,12,44,23,98,25,6,8
123,12,35,80,47,14,6,8
124,20,20,11,47,14,6,66
126,20,20,11,47,19,10,7
127,20,35,11,47,12,12,7
128,20,8,11,23,12,53,7
129,40,8,11,23,11,12,7
130,36,8,10,37,77,12,7
131,36,7,10,107,41,12,25
132,37,7,60,84,79,12,28
133,37,8,9,141,59,12,7
134,36,50,9,28,59,25,6
135,54,11,9,130,68,44,6
136,37,7,9,87,16,7,6
137,54,7,9,96,15,7,4
138,30,7,9,79,75,7,4
139,11,7,8,135,56,7,4
140,11,6,8,142,24,6,4
141,11,6,99,25,44,6,45
142,11,6,30,62,13,6,13
143,16,6,30,99,12,6,13
144,18,6,30,24,71,6,13
145,18,6,30,13,46,6,12
146,22,6,72,70,79,6,12
147,9,6,109,24,12,6,11
148,9,59,6,66,12,6,55
149,9,19,6,13,62,6,30
150,9,62,6,16,60,6,18
151,9,28,6,46,54,6,18
152,9,28,6,116,7,57,18
153,9,28,41,40,7,18,14
154,15,28,33,121,7,18,7
