Day_Number,Bakery,Beverages,Dairy,Fruits & Vegetables,Grains & Pulses,Oils & Fats,Seafood
1,5.2,21.0,8.7,3.7,1.7,2.3,7.7
2,4.4,9.6,7.3,3.4,2.0,2.5,8.3
3,5.1,9.6,7.7,8.2,2.1,5.8,8.0
4,3.8,10.2,5.2,9.1,2.0,4.8,7.6
5,5.3,10.0,3.8,3.0,2.0,5.9,7.7
6,5.0,12.8,4.2,4.6,4.7,5.5,6.9
7,4.4,12.6,4.3,4.5,4.7,6.2,8.0
8,5.2,11.0,4.2,3.7,2.5,6.0,6.6
9,5.3,12.0,4.0,4.0,3.0,2.5,7.6
10,5.0,31.2,4.2,1.7,2.2,2.3,8.9
11,5.2,31.7,3.6,1.8,2.5,2.0,8.0
12,5.0,30.0,3.4,3.3,1.5,1.9,20.1
13,3.9,12.7,4.1,3.1,2.0,1.9,15.1
14,4.0,11.7,2.5,4.5,2.4,2.3,22.0
15,5.2,13.3,4.0,3.8,2.2,2.2,18.2
16,4.7,11.9,2.2,4.1,4.3,2.8,13.7
17,4.9,12.0,1.9,2.4,3.9,2.2,20.0
18,6.1,22.1,2.2,4.4,4.7,2.4,18.2
19,5.5,22.4,2.5,3.3,4.6,2.2,18.2
20,6.2,20.0,2.8,2.7,4.6,2.0,16.0
21,5.6,15.7,2.2,3.0,3.5,2.3,15.1
22,6.6,17.9,2.7,3.4,4.8,2.7,16.3
23,5.5,15.5,2.1,4.6,4.5,2.5,13.3
24,2.3,9.7,2.7,3.7,5.0,1.9,16.9
25,2.7,9.9,2.6,3.1,9.4,1.6,16.4
26,2.9,10.5,2.9,3.0,8.5,1.8,14.5
27,2.2,10.0,2.4,3.1,11.0,1.9,15.4
28,3.3,19.7,2.6,3.0,10.4,1.7,16.3
29,2.8,18.2,3.0,1.8,9.5,1.8,19.0
30,2.8,24.2,2.5,4.8,4.4,1.9,15.0
31,2.7,21.8,2.9,4.5,3.0,1.8,6.5
32,3.7,20.0,2.5,7.0,5.1,2.2,6.7
33,2.5,7.9,0.2,5.7,5.7,2.3,6.7
34,5.0,7.6,0.2,5.0,4.3,2.0,7.1
35,4.5,11.3,0.2,7.9,5.8,1.7,7.5
36,3.9,12.0,0.2,3.0,5.0,2.1,10.5
37,3.8,18.0,12.0,3.8,3.5,2.0,8.7
38,4.0,15.3,0.8,3.6,4.0,3.7,11.0
39,3.1,4.7,1.0,3.5,3.7,3.6,8.3
40,2.6,5.2,2.5,4.4,2.4,4.1,8.8
41,3.4,4.7,2.8,4.6,2.1,3.5,10.0
42,3.5,15.0,4.4,3.2,2.2,4.3,23.2
43,2.9,8.9,4.0,3.7,1.8,4.2,21.9
44,3.4,10.0,4.8,2.5,2.3,3.8,19.2
45,3.4,31.3,9.6,1.6,3.1,4.2,20.2
46,3.6,30.2,9.0,4.6,3.1,4.0,20.0
47,2.9,29.6,0.2,4.4,3.0,2.4,21.2
48,3.7,32.4,2.5,5.9,2.7,2.0,21.6
49,3.3,28.5,2.9,7.0,2.5,1.7,22.8
50,3.1,31.4,3.7,5.3,3.0,2.0,17.5
51,3.2,26.1,4.3,3.9,3.3,7.5,22.5
52,4.8,30.0,4.0,2.5,3.1,4.7,19.0
53,6.0,23.9,0.2,2.5,3.1,6.5,20.0
54,2.7,25.2,0.2,2.5,2.9,6.5,9.8
55,3.0,23.2,7.0,2.4,1.4,2.4,10.3
56,4.0,24.7,4.0,2.5,1.3,2.3,9.0
57,3.5,24.4,4.2,4.4,1.4,2.0,10.0
58,3.6,27.3,6.6,4.7,1.4,2.4,10.0
59,4.2,29.3,5.8,5.1,1.5,2.4,8.2
60,3.8,26.8,6.0,5.4,4.8,2.6,8.6
61,4.0,27.2,2.5,4.6,4.6,2.4,9.4
62,2.5,23.7,3.0,5.0,4.4,2.4,8.7
63,3.4,24.8,3.2,5.3,1.3,2.3,6.8
64,2.8,25.3,3.3,3.0,1.4,1.8,9.9
65,3.1,22.7,3.0,2.5,1.4,1.8,9.9
66,3.0,25.0,3.0,2.6,5.2,2.3,8.0
67,3.0,21.4,2.4,2.8,5.0,2.6,7.2
68,2.7,26.2,2.3,1.8,2.6,2.8,7.0
69,3.4,24.8,2.5,1.9,1.9,2.5,12.0
70,3.4,28.7,2.5,2.4,1.6,2.5,11.2
71,3.7,25.0,2.2,3.1,1.8,5.3,7.3
72,3.4,5.0,2.5,3.5,9.7,2.5,9.1
73,3.4,5.2,1.6,3.5,2.0,2.3,9.3
74,3.2,4.7,2.2,3.5,9.5,2.5,8.8
75,5.7,4.9,2.1,1.2,2.4,2.4,9.9
76,5.6,6.0,2.0,2.7,1.6,2.3,10.0
77,5.0,5.7,7.7,2.9,1.9,2.5,8.0
78,5.5,5.3,8.0,5.0,1.6,7.4,8.0
79,2.7,9.0,3.3,6.0,1.8,6.5,16.8
81,3.0,7.9,1.9,6.0,2.0,5.5,20.8
82,4.0,10.0,1.9,2.8,2.1,6.0,16.9
84,2.7,8.3,1.8,3.4,2.0,6.1,16.3
85,2.8,8.3,2.0,4.0,1.4,6.2,17.7
